วันที่,จังหวัด,ค่าเฉลี่ย PM2.5,ภูมิภาค
09/04/2025,กรุงเทพฯ,23.07,ภาคกลาง
09/04/2025,กาญจนบุรี,34.1,ภาคตะวันตก
09/04/2025,กาฬสินธุ์,52.7,ภาคตะวันออกเฉียงเหนือ
09/04/2025,กำแพงเพชร,44.5,ภาคกลาง
09/04/2025,ขอนแก่น,48.2,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ชุมพร,12.0,ภาคใต้
09/04/2025,บึงกาฬ,34.3,ภาคตะวันออกเฉียงเหนือ
09/04/2025,สงขลา,13.5,ภาคใต้
09/04/2025,สุรินทร์,31.3,ภาคตะวันออกเฉียงเหนือ
09/04/2025,อำนาจเจริญ,72.6,ภาคตะวันออกเฉียงเหนือ
09/04/2025,เชียงใหม่,29.85,ภาคเหนือ
09/04/2025,จันทบุรี,18.3,ภาคตะวันออก
09/04/2025,ฉะเชิงเทรา,24.8,ภาคตะวันออก
09/04/2025,ชลบุรี,20.56666667,ภาคตะวันออก
09/04/2025,ชัยนาท,78.9,ภาคกลาง
09/04/2025,ชัยภูมิ,35.9,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ตรัง,11.0,ภาคใต้
09/04/2025,ตราด,16.6,ภาคตะวันออก
09/04/2025,ตาก,26.6,ภาคตะวันตก
09/04/2025,นครนายก,25.2,ภาคกลาง
09/04/2025,นครปฐม,22.2,ภาคกลาง
09/04/2025,นครพนม,57.9,ภาคตะวันออกเฉียงเหนือ
09/04/2025,นครราชสีมา,36.8,ภาคตะวันออกเฉียงเหนือ
09/04/2025,นครศรีธรรมราช,11.8,ภาคใต้
09/04/2025,นครสวรรค์,40.1,ภาคกลาง
09/04/2025,นนทบุรี,18.9,ภาคกลาง
09/04/2025,นราธิวาส,10.0,ภาคใต้
09/04/2025,น่าน,58.6,ภาคเหนือ
09/04/2025,บุรีรัมย์,30.3,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ปทุมธานี,21.7,ภาคกลาง
09/04/2025,ประจวบคีรีขันธ์,24.3,ภาคตะวันตก
09/04/2025,ปราจีนบุรี,33.4,ภาคตะวันออก
09/04/2025,ปัตตานี,11.1,ภาคใต้
09/04/2025,พระนครศรีอยุธยา,41.25,ภาคกลาง
09/04/2025,พะเยา,36.4,ภาคเหนือ
09/04/2025,พังงา,12.2,ภาคใต้
09/04/2025,พัทลุง,13.2,ภาคใต้
09/04/2025,พิจิตร,25.0,ภาคกลาง
09/04/2025,พิษณุโลก,33.3,ภาคกลาง
09/04/2025,ภูเก็ต,12.1,ภาคใต้
09/04/2025,มหาสารคาม,48.6,ภาคตะวันออกเฉียงเหนือ
09/04/2025,มุกดาหาร,62.8,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ยะลา,9.5,ภาคใต้
09/04/2025,ยโสธร,-1.0,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ระนอง,12.2,ภาคใต้
09/04/2025,ระยอง,23.2,ภาคตะวันออก
09/04/2025,ราชบุรี,29.4,ภาคตะวันตก
09/04/2025,ร้อยเอ็ด,60.4,ภาคตะวันออกเฉียงเหนือ
09/04/2025,ลพบุรี,35.1,ภาคกลาง
09/04/2025,ลำปาง,26.775,ภาคเหนือ
09/04/2025,ลำพูน,24.6,ภาคเหนือ
09/04/2025,ศรีสะเกษ,36.3,ภาคตะวันออกเฉียงเหนือ
09/04/2025,สกลนคร,42.9,ภาคตะวันออกเฉียงเหนือ
09/04/2025,สงขลา,12.1,ภาคใต้
09/04/2025,สตูล,12.3,ภาคใต้
09/04/2025,สมุทรปราการ,22.16,ภาคกลาง
09/04/2025,สมุทรสงคราม,22.1,ภาคกลาง
09/04/2025,สมุทรสาคร,21.5,ภาคกลาง
09/04/2025,สระบุรี,32.25,ภาคกลาง
09/04/2025,สระแก้ว,18.1,ภาคตะวันออก
09/04/2025,สิงห์บุรี,38.1,ภาคกลาง
09/04/2025,สุพรรณบุรี,31.6,ภาคกลาง
09/04/2025,สุราษฎร์ธานี,12.2,ภาคใต้
09/04/2025,สุโขทัย,33.0,ภาคกลาง
09/04/2025,หนองคาย,53.0,ภาคตะวันออกเฉียงเหนือ
09/04/2025,หนองบัวลำภู,25.6,ภาคตะวันออกเฉียงเหนือ
09/04/2025,อุดรธานี,27.9,ภาคตะวันออกเฉียงเหนือ
09/04/2025,อุตรดิตถ์,29.5,ภาคเหนือ
09/04/2025,อุทัยธานี,54.7,ภาคกลาง
09/04/2025,อุบลราชธานี,78.9,ภาคตะวันออกเฉียงเหนือ
09/04/2025,อ่างทอง,36.4,ภาคกลาง
09/04/2025,เชียงราย,82.83333333,ภาคเหนือ
09/04/2025,เชียงใหม่,35.175,ภาคเหนือ
09/04/2025,เพชรบุรี,23.3,ภาคตะวันตก
09/04/2025,เพชรบูรณ์,28.6,ภาคกลาง
09/04/2025,เลย,25.2,ภาคตะวันออกเฉียงเหนือ
09/04/2025,แพร่,43.6,ภาคเหนือ
09/04/2025,แม่ฮ่องสอน,61.03333333,ภาคเหนือ
10/04/2025,กรุงเทพฯ,22.91375,ภาคกลาง
10/04/2025,กาญจนบุรี,30.5,ภาคตะวันตก
10/04/2025,กาฬสินธุ์,40.2,ภาคตะวันออกเฉียงเหนือ
10/04/2025,กำแพงเพชร,32.5,ภาคกลาง
10/04/2025,ขอนแก่น,37.0,ภาคตะวันออกเฉียงเหนือ
10/04/2025,ชุมพร,13.2,ภาคใต้
10/04/2025,บึงกาฬ,30.4,ภาคตะวันออกเฉียงเหนือ
10/04/2025,สงขลา,13.7,ภาคใต้
10/04/2025,สุรินทร์,24.5,ภาคตะวันออกเฉียงเหนือ
10/04/2025,อำนาจเจริญ,48.9,ภาคตะวันออกเฉียงเหนือ
10/04/2025,เชียงใหม่,43.9,ภาคเหนือ
10/04/2025,จันทบุรี,17.3,ภาคตะวันออก
10/04/2025,ฉะเชิงเทรา,25.9,ภาคตะวันออก
10/04/2025,ชลบุรี,19.8,ภาคตะวันออก
10/04/2025,ชัยนาท,31.3,ภาคกลาง
10/04/2025,ชัยภูมิ,28.9,ภาคตะวันออกเฉียงเหนือ
10/04/2025,ตรัง,10.1,ภาคใต้
10/04/2025,ตราด,14.3,ภาคตะวันออก
10/04/2025,ตาก,32.7,ภาคตะวันตก
10/04/2025,นครนายก,18.7,ภาคกลาง
